Entity,Management 1,Management 2,Management 3,Management 4,Management 5,Date,Amount
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Freight & Duty,4/1/22,-550170
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Manufacturing Overheads,4/1/22,-825250
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Packaging,4/1/22,-330100
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Warranty Provision,4/1/22,-220070
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Accessories,4/1/22,746510
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Laptops,4/1/22,3001890
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Mobile Devices,4/1/22,1749710
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Smart Home Devices,4/1/22,396353
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,TVs,4/1/22,3407680
Apex Electronics AU,Income Statement,EBITDA,Opex,Facilities,Rent & Utilities,4/1/22,-196850
Apex Electronics AU,Income Statement,EBITDA,Opex,G&A,Other G&A,4/1/22,-98420
Apex Electronics AU,Income Statement,EBITDA,Opex,Logistics,Distribution,4/1/22,-196850
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Benefits,4/1/22,-98420
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Salaries & Wages,4/1/22,-984250
Apex Electronics AU,Income Statement,EBITDA,Opex,Sales & Marketing,Marketing,4/1/22,-196850
Apex Electronics AU,Income Statement,EBITDA,Opex,Technology,IT & Cloud,4/1/22,-196850
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Components,5/1/22,-2457670
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Direct Labor,5/1/22,-1092300
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Freight & Duty,5/1/22,-546150
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Manufacturing Overheads,5/1/22,-819220
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Packaging,5/1/22,-327690
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Warranty Provision,5/1/22,-218460
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Accessories,5/1/22,708150
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Laptops,5/1/22,3007620
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Mobile Devices,5/1/22,1766030
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Smart Home Devices,5/1/22,456240
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,TVs,5/1/22,3170550
Apex Electronics AU,Income Statement,EBITDA,Opex,Facilities,Rent & Utilities,5/1/22,-195410
Apex Electronics AU,Income Statement,EBITDA,Opex,G&A,Other G&A,5/1/22,-97710
Apex Electronics AU,Income Statement,EBITDA,Opex,Logistics,Distribution,5/1/22,-195410
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Benefits,5/1/22,-97710
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Salaries & Wages,5/1/22,-977060
Apex Electronics AU,Income Statement,EBITDA,Opex,Sales & Marketing,Marketing,5/1/22,-195410
Apex Electronics AU,Income Statement,EBITDA,Opex,Technology,IT & Cloud,5/1/22,-195410
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Components,6/1/22,-2536580
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Direct Labor,6/1/22,-1127370
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Freight & Duty,6/1/22,-563680
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Manufacturing Overheads,6/1/22,-845530
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Packaging,6/1/22,-338210
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Warranty Provision,6/1/22,-225470
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Accessories,6/1/22,774880
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Laptops,6/1/22,2891850
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Mobile Devices,6/1/22,1770710
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Smart Home Devices,6/1/22,558130
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,TVs,6/1/22,3231000
Apex Electronics AU,Income Statement,EBITDA,Opex,Facilities,Rent & Utilities,6/1/22,-201690
Apex Electronics AU,Income Statement,EBITDA,Opex,G&A,Other G&A,6/1/22,-100840
Apex Electronics AU,Income Statement,EBITDA,Opex,Logistics,Distribution,6/1/22,-201690
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Benefits,6/1/22,-100840
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Salaries & Wages,6/1/22,-1008430
Apex Electronics AU,Income Statement,EBITDA,Opex,Sales & Marketing,Marketing,6/1/22,-201690
Apex Electronics AU,Income Statement,EBITDA,Opex,Technology,IT & Cloud,6/1/22,-201690
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Components,7/1/22,-2575790
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Direct Labor,7/1/22,-1144800
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Freight & Duty,7/1/22,-572400
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Manufacturing Overheads,7/1/22,-858600
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Packaging,7/1/22,-343440
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Warranty Provision,7/1/22,-228960
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Accessories,7/1/22,728830
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Laptops,7/1/22,3001110
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Mobile Devices,7/1/22,1818420
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Smart Home Devices,7/1/22,508463
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,TVs,7/1/22,3428960
Apex Electronics AU,Income Statement,EBITDA,Opex,Facilities,Rent & Utilities,7/1/22,-204800
Apex Electronics AU,Income Statement,EBITDA,Opex,G&A,Other G&A,7/1/22,-102400
Apex Electronics AU,Income Statement,EBITDA,Opex,Logistics,Distribution,7/1/22,-204800
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Benefits,7/1/22,-102400
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Salaries & Wages,7/1/22,-1024020
Apex Electronics AU,Income Statement,EBITDA,Opex,Sales & Marketing,Marketing,7/1/22,-204800
Apex Electronics AU,Income Statement,EBITDA,Opex,Technology,IT & Cloud,7/1/22,-204800
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Components,8/1/22,-2531830
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Direct Labor,8/1/22,-1125260
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Freight & Duty,8/1/22,-562630
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Manufacturing Overheads,8/1/22,-843940
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Packaging,8/1/22,-337580
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Warranty Provision,8/1/22,-225050
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Accessories,8/1/22,767090
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Laptops,8/1/22,2812710
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Mobile Devices,8/1/22,1746530
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Smart Home Devices,8/1/22,517657
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,TVs,8/1/22,3444150
Apex Electronics AU,Income Statement,EBITDA,Opex,Facilities,Rent & Utilities,8/1/22,-201310
Apex Electronics AU,Income Statement,EBITDA,Opex,G&A,Other G&A,8/1/22,-100650
Apex Electronics AU,Income Statement,EBITDA,Opex,Logistics,Distribution,8/1/22,-201310
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Benefits,8/1/22,-100650
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Salaries & Wages,8/1/22,-1006540
Apex Electronics AU,Income Statement,EBITDA,Opex,Sales & Marketing,Marketing,8/1/22,-201310
Apex Electronics AU,Income Statement,EBITDA,Opex,Technology,IT & Cloud,8/1/22,-201310
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Components,9/1/22,-2598370
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Direct Labor,9/1/22,-1154830
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Freight & Duty,9/1/22,-577410
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Manufacturing Overheads,9/1/22,-866120
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Packaging,9/1/22,-346450
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Warranty Provision,9/1/22,-230970
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Accessories,9/1/22,716060
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Laptops,9/1/22,3023740
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Mobile Devices,9/1/22,1815130
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Smart Home Devices,9/1/22,549430
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,TVs,9/1/22,3391540
Apex Electronics AU,Income Statement,EBITDA,Opex,Facilities,Rent & Utilities,9/1/22,-206600
Apex Electronics AU,Income Statement,EBITDA,Opex,G&A,Other G&A,9/1/22,-103300
Apex Electronics AU,Income Statement,EBITDA,Opex,Logistics,Distribution,9/1/22,-206600
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Benefits,9/1/22,-103300
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Salaries & Wages,9/1/22,-1032990
Apex Electronics AU,Income Statement,EBITDA,Opex,Sales & Marketing,Marketing,9/1/22,-206600
Apex Electronics AU,Income Statement,EBITDA,Opex,Technology,IT & Cloud,9/1/22,-206600
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Components,10/1/22,-2716420
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Direct Labor,10/1/22,-1207300
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Freight & Duty,10/1/22,-603650
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Manufacturing Overheads,10/1/22,-905470
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Packaging,10/1/22,-362190
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Warranty Provision,10/1/22,-241460
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Accessories,10/1/22,765080
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Laptops,10/1/22,2910920
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Mobile Devices,10/1/22,1760510
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Smart Home Devices,10/1/22,758493
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,TVs,10/1/22,3364110
Apex Electronics AU,Income Statement,EBITDA,Opex,Facilities,Rent & Utilities,10/1/22,-215980
Apex Electronics AU,Income Statement,EBITDA,Opex,G&A,Other G&A,10/1/22,-107990
Apex Electronics AU,Income Statement,EBITDA,Opex,Logistics,Distribution,10/1/22,-215980
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Benefits,10/1/22,-107990
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Salaries & Wages,10/1/22,-1079920
Apex Electronics AU,Income Statement,EBITDA,Opex,Sales & Marketing,Marketing,10/1/22,-215980
Apex Electronics AU,Income Statement,EBITDA,Opex,Technology,IT & Cloud,10/1/22,-215980
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Components,11/1/22,-2796770
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Direct Labor,11/1/22,-1243010
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Freight & Duty,11/1/22,-621510
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Manufacturing Overheads,11/1/22,-932260
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Packaging,11/1/22,-372900
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Warranty Provision,11/1/22,-248600
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Accessories,11/1/22,776330
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Laptops,11/1/22,2884200
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Mobile Devices,11/1/22,1844560
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Smart Home Devices,11/1/22,888120
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,TVs,11/1/22,3234310
Apex Electronics AU,Income Statement,EBITDA,Opex,Facilities,Rent & Utilities,11/1/22,-222370
Apex Electronics AU,Income Statement,EBITDA,Opex,G&A,Other G&A,11/1/22,-111190
Apex Electronics AU,Income Statement,EBITDA,Opex,Logistics,Distribution,11/1/22,-222370
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Benefits,11/1/22,-111190
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Salaries & Wages,11/1/22,-1111870
Apex Electronics AU,Income Statement,EBITDA,Opex,Sales & Marketing,Marketing,11/1/22,-222370
Apex Electronics AU,Income Statement,EBITDA,Opex,Technology,IT & Cloud,11/1/22,-222370
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Components,12/1/22,-3082290
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Direct Labor,12/1/22,-1369910
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Freight & Duty,12/1/22,-684950
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Manufacturing Overheads,12/1/22,-1027430
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Packaging,12/1/22,-410970
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Warranty Provision,12/1/22,-273980
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Accessories,12/1/22,749630
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Laptops,12/1/22,2864140
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Mobile Devices,12/1/22,1899620
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Smart Home Devices,12/1/22,1291087
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,TVs,12/1/22,3181310
Apex Electronics AU,Income Statement,EBITDA,Opex,Facilities,Rent & Utilities,12/1/22,-245080
Apex Electronics AU,Income Statement,EBITDA,Opex,G&A,Other G&A,12/1/22,-122540
Apex Electronics AU,Income Statement,EBITDA,Opex,Logistics,Distribution,12/1/22,-245080
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Benefits,12/1/22,-122540
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Salaries & Wages,12/1/22,-1225380
Apex Electronics AU,Income Statement,EBITDA,Opex,Sales & Marketing,Marketing,12/1/22,-245080
Apex Electronics AU,Income Statement,EBITDA,Opex,Technology,IT & Cloud,12/1/22,-245080
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Components,1/1/23,-2622720
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Direct Labor,1/1/23,-1165650
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Freight & Duty,1/1/23,-582830
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Manufacturing Overheads,1/1/23,-874240
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Packaging,1/1/23,-349700
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Warranty Provision,1/1/23,-233130
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Accessories,1/1/23,812490
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Laptops,1/1/23,3243500
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Mobile Devices,1/1/23,1927060
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Smart Home Devices,1/1/23,363817
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,TVs,1/1/23,3718590
Apex Electronics AU,Income Statement,EBITDA,Opex,Facilities,Rent & Utilities,1/1/23,-205070
Apex Electronics AU,Income Statement,EBITDA,Opex,G&A,Other G&A,1/1/23,-102530
Apex Electronics AU,Income Statement,EBITDA,Opex,Logistics,Distribution,1/1/23,-205070
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Benefits,1/1/23,-102530
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Salaries & Wages,1/1/23,-1025340
Apex Electronics AU,Income Statement,EBITDA,Opex,Sales & Marketing,Marketing,1/1/23,-205070
Apex Electronics AU,Income Statement,EBITDA,Opex,Technology,IT & Cloud,1/1/23,-205070
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Components,2/1/23,-2623960
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Direct Labor,2/1/23,-1166200
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Freight & Duty,2/1/23,-583100
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Manufacturing Overheads,2/1/23,-874650
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Packaging,2/1/23,-349860
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Warranty Provision,2/1/23,-233240
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Accessories,2/1/23,789580
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Laptops,2/1/23,3265760
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Mobile Devices,2/1/23,1970870
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Smart Home Devices,2/1/23,372427
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,TVs,2/1/23,3654700
Apex Electronics AU,Income Statement,EBITDA,Opex,Facilities,Rent & Utilities,2/1/23,-205170
Apex Electronics AU,Income Statement,EBITDA,Opex,G&A,Other G&A,2/1/23,-102580
Apex Electronics AU,Income Statement,EBITDA,Opex,Logistics,Distribution,2/1/23,-205170
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Benefits,2/1/23,-102580
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Salaries & Wages,2/1/23,-1025830
Apex Electronics AU,Income Statement,EBITDA,Opex,Sales & Marketing,Marketing,2/1/23,-205170
Apex Electronics AU,Income Statement,EBITDA,Opex,Technology,IT & Cloud,2/1/23,-205170
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Components,3/1/23,-2603660
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Direct Labor,3/1/23,-1157180
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Freight & Duty,3/1/23,-578590
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Manufacturing Overheads,3/1/23,-867890
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Packaging,3/1/23,-347150
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Warranty Provision,3/1/23,-231440
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Accessories,3/1/23,781150
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Laptops,3/1/23,3252270
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Mobile Devices,3/1/23,1942450
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Smart Home Devices,3/1/23,422050
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,TVs,3/1/23,3472620
Apex Electronics AU,Income Statement,EBITDA,Opex,Facilities,Rent & Utilities,3/1/23,-203580
Apex Electronics AU,Income Statement,EBITDA,Opex,G&A,Other G&A,3/1/23,-101790
Apex Electronics AU,Income Statement,EBITDA,Opex,Logistics,Distribution,3/1/23,-203580
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Benefits,3/1/23,-101790
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Salaries & Wages,3/1/23,-1017890
Apex Electronics AU,Income Statement,EBITDA,Opex,Sales & Marketing,Marketing,3/1/23,-203580
Apex Electronics AU,Income Statement,EBITDA,Opex,Technology,IT & Cloud,3/1/23,-203580
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Components,4/1/23,-2568700
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Direct Labor,4/1/23,-1141650
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Freight & Duty,4/1/23,-570820
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Manufacturing Overheads,4/1/23,-856230
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Packaging,4/1/23,-342490
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Warranty Provision,4/1/23,-228330
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Accessories,4/1/23,817380
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Laptops,4/1/23,3047510
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Mobile Devices,4/1/23,1891570
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Smart Home Devices,4/1/23,458133
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,TVs,4/1/23,3439940
Apex Electronics AU,Income Statement,EBITDA,Opex,Facilities,Rent & Utilities,4/1/23,-200850
Apex Electronics AU,Income Statement,EBITDA,Opex,G&A,Other G&A,4/1/23,-100420
Apex Electronics AU,Income Statement,EBITDA,Opex,Logistics,Distribution,4/1/23,-200850
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Benefits,4/1/23,-100420
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Salaries & Wages,4/1/23,-1004230
Apex Electronics AU,Income Statement,EBITDA,Opex,Sales & Marketing,Marketing,4/1/23,-200850
Apex Electronics AU,Income Statement,EBITDA,Opex,Technology,IT & Cloud,4/1/23,-200850
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Components,5/1/23,-2599730
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Direct Labor,5/1/23,-1155440
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Freight & Duty,5/1/23,-577720
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Manufacturing Overheads,5/1/23,-866580
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Packaging,5/1/23,-346630
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Warranty Provision,5/1/23,-231090
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Accessories,5/1/23,789700
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Laptops,5/1/23,3049670
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Mobile Devices,5/1/23,1927880
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Smart Home Devices,5/1/23,498527
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,TVs,5/1/23,3435650
Apex Electronics AU,Income Statement,EBITDA,Opex,Facilities,Rent & Utilities,5/1/23,-203270
Apex Electronics AU,Income Statement,EBITDA,Opex,G&A,Other G&A,5/1/23,-101640
Apex Electronics AU,Income Statement,EBITDA,Opex,Logistics,Distribution,5/1/23,-203270
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Benefits,5/1/23,-101640
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Salaries & Wages,5/1/23,-1016360
Apex Electronics AU,Income Statement,EBITDA,Opex,Sales & Marketing,Marketing,5/1/23,-203270
Apex Electronics AU,Income Statement,EBITDA,Opex,Technology,IT & Cloud,5/1/23,-203270
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Components,6/1/23,-2800700
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Direct Labor,6/1/23,-1244750
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Freight & Duty,6/1/23,-622380
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Manufacturing Overheads,6/1/23,-933570
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Packaging,6/1/23,-373430
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Warranty Provision,6/1/23,-248950
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Accessories,6/1/23,777530
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Laptops,6/1/23,3008870
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Mobile Devices,6/1/23,2064120
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,Smart Home Devices,6/1/23,651647
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Sales,TVs,6/1/23,3720050
Apex Electronics AU,Income Statement,EBITDA,Opex,Facilities,Rent & Utilities,6/1/23,-218980
Apex Electronics AU,Income Statement,EBITDA,Opex,G&A,Other G&A,6/1/23,-109490
Apex Electronics AU,Income Statement,EBITDA,Opex,Logistics,Distribution,6/1/23,-218980
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Benefits,6/1/23,-109490
Apex Electronics AU,Income Statement,EBITDA,Opex,People,Salaries & Wages,6/1/23,-1094920
Apex Electronics AU,Income Statement,EBITDA,Opex,Sales & Marketing,Marketing,6/1/23,-218980
Apex Electronics AU,Income Statement,EBITDA,Opex,Technology,IT & Cloud,6/1/23,-218980
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Components,7/1/23,-2724400
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Direct Labor,7/1/23,-1210850
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Freight & Duty,7/1/23,-605420
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Manufacturing Overheads,7/1/23,-908130
Apex Electronics AU,Income Statement,EBITDA,Gross Profit,Cost of Goods Sold,Packaging,7/1/23,-363250
